link,title,OG price,DC price,Composition,GSM,Colour
https://www.bonkerscorner.com/product/imagination-is-real-oversized-t-shirt-2/,Imagination Is Real Oversized T-shirt,₹1299.00,₹899.00,100% cotton,200,Off White
https://www.bonkerscorner.com/product/slayers-oversized-t-shirt/,Slayers Oversized T-shirt,₹1299.00,₹799.00,100% cotton,200,Grey
https://www.bonkerscorner.com/product/black-chainsaw-man-oversized-t-shirt/,Black Chainsaw man Oversized T-shirt,₹1199.00,₹699.00,100% cotton,180,Black
https://www.bonkerscorner.com/product/luffy-oversized-t-shirt-2/,Luffy Oversized T-shirt,₹1199.00,₹699.00,100% cotton,200,Black
https://www.bonkerscorner.com/product/brown-iron-man-oversized-t-shirt/,Brown Iron Man Oversized T-shirt,₹1299.00,₹899.00,100% cotton,180,Brown
https://www.bonkerscorner.com/product/psychedelic-mood-oversized-t-shirt/,Psychedelic Mood Oversized T-shirt,₹1299.00,₹799.00,100% cotton,200,Blue
https://www.bonkerscorner.com/product/light-blue-good-vibes-sweatshirt/,Light Blue Good Vibes Sweatshirt,₹1599.00,"₹1,099.00",60% cotton 40% polyester,320,
https://www.bonkerscorner.com/product/tupac-oversized-t-shirt-2/,Tupac Oversized T-shirt,₹1199.00,₹699.00,100% cotton,180,Light Purple
https://www.bonkerscorner.com/product/astroworld-oversized-t-shirt-2/,Astroworld Oversized T-shirt,₹1199.00,₹799.00,100% cotton,200,Brown
https://www.bonkerscorner.com/product/stay-real-oversized-t-shirt-2/,Stay Real Oversized T-shirt,₹1399.00,₹899.00,100% cotton,200,Off White
https://www.bonkerscorner.com/product/turtley-oversized-t-shirt-2/,Turtley Oversized T-shirt,₹999.00,₹699.00,100% premium cotton,180,Blue
https://www.bonkerscorner.com/product/akira-oversized-t-shirt-2/,Akira Oversized T-shirt,₹999.00,₹699.00,100% premium cotton,180,Red
https://www.bonkerscorner.com/product/captain-america-oversized-t-shirt-2/,Captain America Oversized T-shirt,₹1299.00,₹899.00,100% cotton,200,Black
https://www.bonkerscorner.com/product/highest-in-the-room-oversized-t-shirt-2/,Highest In The Room Oversized T-shirt,₹999.00,₹699.00,100% premium cotton,180,Brown
https://www.bonkerscorner.com/product/chainsaw-man-oversized-t-shirt/,Chainsaw Man Oversized T-shirt,₹1199.00,₹699.00,100% premium cotton,180,Orange
https://www.bonkerscorner.com/product/bad-boy-oversized-t-shirt-2/,Bad Boy Oversized T-shirt,₹1199.00,₹799.00,100% premium cotton,200,Black
https://www.bonkerscorner.com/product/bad-boy-oversized-t-shirt-2/,Bad Boy Oversized T-shirt,₹1199.00,₹799.00,100% premium cotton,200,Black
https://www.bonkerscorner.com/product/donald-sk8-polo-oversized-shirt/,Donald Sk8 Polo Oversized Shirt,₹1599.00,₹999.00,100% cotton,240,Cream
https://www.bonkerscorner.com/product/moody-mickey-mouse-oversized-sweatshirt-2/,Moody Mickey Mouse Oversized Sweatshirt,₹1799.00,"₹1,299.00",60% cotton 40% polyester,320,Black
https://www.bonkerscorner.com/product/donald-duck-34-jersey/,Donald Duck 34 Oversized Jersey,₹1499.00,₹999.00,100% premium cotton,230,White
https://www.bonkerscorner.com/product/original-mickey-oversized-jersey/,Original Mickey Oversized Jersey,₹1499.00,₹999.00,100% premium cotton,230,White-Black
